bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Aeroviário,-16.6653798,-49.3056932,5636.07,-5396.64,1613.67
Alphaville Flamboyant Residencial Araguaia,,,,,
Alto da Glória,-16.7154183,-49.2384542,4324.77,1761.41,-3947.25
Anhanguera,-16.6615563,-49.189872,7231.16,6933.32,2038.59
Araguaia Park,-16.6983554,-49.35389319999999,10731.26,-10527.86,-2051.0
Bairro Santa Rita,-16.7337479,-49.3412051,10960.9,-9177.12,-5984.28
Balneário Gran Viena,-16.6171657,-49.284448,7648.72,-3134.94,6971.85
Boa Vista,-16.5826415,-49.3412051,14188.48,-9177.12,10808.62
Campus Samambaia - UFG,-16.6021096,-49.26386549999999,8701.31,-943.79,8645.08
Capuava,-16.656984,-49.3209099,7469.0,-7016.56,2546.72
Carolina Parque,-16.6929528,-49.3716612,12510.36,-12419.38,-1450.6
Carolina Parque Complemento,-16.6929528,-49.3716612,12510.36,-12419.38,-1450.6
Chácara do Governador,-16.7258708,-49.2271373,5910.63,2966.17,-5108.87
Chácaras Alto da Glória,-16.717182,-49.2258711,5177.9,3100.97,-4143.26
Chácaras Anhanguera,-16.7097461,-49.3657537,12254.1,-11790.49,-3316.89
Chácaras Bom Retiro,-16.5620457,-49.241391,13184.78,1448.77,13097.5
Chácaras Buritis,-16.7144782,-49.3726132,13103.38,-12520.73,-3842.78
Chácaras Dona Gê,-16.7066001,-49.3202758,7559.82,-6949.06,-2967.26
Chácaras Ipanema,-16.6505236,-49.1746153,9164.82,8557.5,3264.69
Chácaras Mansões Rosas de Ouro,-16.6316533,-49.32788559999999,9437.59,-7759.17,5361.8
Chácaras Maringá,-16.6632623,-49.3627765,11628.55,-11473.55,1849.0
Chácaras Nossa Senhora da Piedade,-16.690586,-49.3016891,5112.99,-4970.37,-1187.57
Chácaras Retiro,-16.6228442,-49.2676689,6486.28,-1348.69,6340.78
Chácaras Rio Branco,,,,,
Chácaras Santa Rita,-16.707223,-49.3361099,9157.57,-8634.7,-3036.49
Chácaras São José,-16.6216448,-49.2990158,7996.76,-4685.78,6474.07
Chácaras de Recreio Samambaia,-16.5788144,-49.2790736,11529.14,-2562.8,11233.94
Chácaras de Recreio São Joaquim,-16.6557976,-49.2416725,3032.86,1418.8,2678.57
Cidade Jardim,-16.6886758,-49.3077784,5705.69,-5618.62,-975.28
