rua,bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Acesso 1,Condomínio Alto da Boa Vista,-16.6434294,-49.3051018,6703.07,-5333.68,4053.09
Acesso 1,Goiânia 2,-16.7777757,-49.3682791,16246.87,-12059.34,-10877.22
Acesso 2,Goiânia 2,-16.7781854,-49.36893449999999,16329.21,-12129.11,-10922.75
Acesso de Serviço PL 10,Loteamento Areião I,-16.7002502,-49.2470631,2415.59,844.94,-2261.58
Alameda Abel Soares de Castro,Setor Faiçalville,-16.7442203,-49.3173154,9756.81,-6633.9,-7148.1
Alameda Adílio Ferreira,Cidade Jardim,-16.6809731,-49.3029384,5107.6,-5103.37,-119.26
Alameda Afonso Pena,Setor Faiçalville,-16.7338222,-49.3116929,8509.19,-6035.35,-5992.53
Alameda Alberto Nepomuceno,Vila Adélia,-16.6909692,-49.3205994,7094.78,-6983.5,-1230.15
Alameda Alcides de Araújo Romão,Setor Faiçalville,-16.7427851,-49.3175662,9658.86,-6660.6,-6988.61
Alameda Alfredo Alves Pinto,Setor Faiçalville,-16.745698,-49.3058324,9101.44,-5411.46,-7312.33
Alameda Aliança,Vila Rosa,-16.7428635,-49.2902214,7942.75,-3749.56,-6997.32
Alameda Ana Maria Moraes Verano,Setor Faiçalville,-16.7349426,-49.3192687,9182.02,-6841.84,-6117.05
Alameda Ana Maria Soares Verano,Jardim Vila Boa,-16.7349426,-49.3192687,9182.02,-6841.84,-6117.05
Alameda Andrelino de Morais,Setor Faiçalville,-16.7418606,-49.3112332,9128.72,-5986.41,-6885.86
Alameda Angélico,Setor Gentil Meireles,-16.6475407,-49.2886699,5080.49,-3584.39,3596.18
Alameda Anicuns,Jardim Pampulha,-16.6744798,-49.3328335,8312.52,-8285.91,602.36
Alameda Anicuns,Parque João Braz - Cidade Industrial,-16.6824908,-49.3565789,10823.56,-10813.77,-287.92
Alameda Anicuns,Residencial Cidade Verde,-16.6736025,-49.3326355,8299.17,-8264.83,699.86
Alameda Anicuns,Vila Santa Helena,-16.6532529,-49.2842392,4298.91,-3112.71,2961.37
Alameda Ary José Cascão,Residencial Fonte das Águas,-16.6005296,-49.3804046,16012.21,-13350.18,8820.67
Alameda Balbino Carvalho,Setor Faiçalville,-16.7484488,-49.3216308,10414.04,-7093.3,-7618.03
Alameda Bernardo Guimarães,Setor Faiçalville,-16.7322841,-49.3174981,8844.95,-6653.35,-5821.6
Alameda Blake,Setor Gentil Meireles,-16.6444886,-49.2843418,5027.35,-3123.64,3935.37
Alameda Bolívia,Residencial Nova Aurora,-16.6885288,-49.3721254,12512.31,-12468.8,-958.94
Alameda Bonard,Setor Gentil Meireles,-16.6461435,-49.284305,4882.05,-3119.72,3751.46
Alameda Boulevard,Setor Faiçalville,-16.7404987,-49.3079909,8789.38,-5641.24,-6734.51
Alameda Boulevard Amendoeiras,Setor Faiçalville,-16.7404987,-49.3079909,8789.38,-5641.24,-6734.51
Alameda Cachoeira,Setor Jaó,-16.6678451,-49.2508346,1411.97,443.44,1339.7
Alameda Carlos Di Tanno,Setor Faiçalville,-16.7357057,-49.3217245,9434.19,-7103.28,-6201.85
Alameda Cascavel,Setor Sol Nascente,-16.6865274,-49.2914351,3950.21,-3878.77,-736.52
Alameda Castro Alves,Setor Faiçalville,-16.7344404,-49.315074,8815.51,-6395.29,-6061.24
Alameda Cezane,Setor Gentil Meireles,-16.6560224,-49.286015,4238.46,-3301.76,2653.59
Alameda Contorno Sul,Loteamento Portal do Sol II,-16.7277189,-49.2456246,5410.16,998.08,-5314.26
Alameda Corcovado,Jardim Petrópolis,-16.6628198,-49.3392154,9169.55,-8965.31,1898.17
Alameda Coronel Eugênio Jardim,Setor Marista,-16.7072553,-49.2607039,3101.84,-607.22,-3040.08
Alameda Coronel Joaquim de Bastos,Setor Marista,-16.7083482,-49.2622829,3257.01,-775.31,-3161.53
Alameda Couto Magalhães,Setor Bela Vista,-16.7150002,-49.2585651,3921.39,-379.53,-3900.79
Alameda Couto Magalhães,Setor Pedro Ludovico,-16.7146729,-49.2585773,3885.3,-380.83,-3864.42
Alameda Câmara Filho,Parque Oeste Industrial Prolongamento,-16.6952109,-49.3298477,8151.93,-7968.05,-1701.55
Alameda Córrego Buriti,Loteamento Portal do Sol I,-16.711735,-49.1905197,7726.26,6864.37,-3537.92
Alameda Córrego Fundo,Setor Novo Planalto,-16.6216087,-49.3462542,11684.2,-9714.63,6478.08
Alameda Córrego Leite,Residencial Vale das Brisas,-16.7388259,-49.1794672,10375.05,8040.98,-6548.61
Alameda Di Cavalcante,Setor Gentil Meireles,-16.6445235,-49.2826407,4913.62,-2942.54,3931.49
Alameda Doutor Sebastião Fleury,Setor Marista,-16.7036346,-49.2566286,2644.86,-173.38,-2637.7
Alameda Ferradura,Parque Oeste Industrial,-16.6920554,-49.3322231,8335.56,-8220.93,-1350.87
Alameda Fleury Curado,Setor Faiçalville,-16.7415522,-49.3080166,8881.24,-5643.98,-6851.59
Alameda Florença,Residencial Granville,-16.7125165,-49.3277291,8553.17,-7742.51,-3624.77
Alameda Fragonard,Setor Gentil Meireles,-16.6481989,-49.2828798,4609.33,-2968.0,3523.04
Alameda Francis Bacon,Setor Gentil Meireles,-16.6443408,-49.2816179,4865.61,-2833.66,3951.8
Alameda Gilson Alves de Souza,Setor Faiçalville,-16.739828,-49.3085567,8771.41,-5701.48,-6659.98
Alameda Goiânia Viva,Residencial Goiânia Viva,-16.6987468,-49.3445744,9768.11,-9535.81,-2094.5
Alameda Guimarães Natal,Setor Pedro Ludovico,-16.7075041,-49.2528324,3078.11,230.76,-3067.73
Alameda Henrique Silva,Setor Pedro Ludovico,-16.708255,-49.2465091,3280.07,903.91,-3151.17
Alameda Hermínio Coelho de Moraes,Parque Santa Rita,-16.7337972,-49.3699187,13627.54,-12233.88,-5989.76
Alameda Hermínio Coelho de Moraes,Residencial Rio Verde,-16.7367481,-49.371362,13911.66,-12387.53,-6317.7
Alameda Higino Pires Martins,Residencial Solar Ville,-16.6307106,-49.3611738,12563.77,-11302.93,5466.56
Alameda Humaitá,Residencial Humaitá,-16.622154,-49.2761581,6805.19,-2252.42,6417.48
