rua,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Acesso 1,-16.6441642,-49.3037248,6536.88,-5187.09,3971.43
Acesso 2,-16.6083071,-49.3483806,12741.45,-9941.0,7956.33
Acesso de Serviço PL 10,-16.7118293,-49.3296162,8704.18,-7943.4,-3548.4
Alameda Abel Soares de Castro,-16.7442203,-49.3173154,9756.81,-6633.9,-7148.1
Alameda Adílio Ferreira,-16.6809731,-49.3029384,5107.6,-5103.37,-119.26
Alameda Afonso Pena,-16.7338222,-49.3116929,8509.19,-6035.35,-5992.53
Alameda Alberto Nepomuceno,-16.6935131,-49.31983,7069.16,-6901.6,-1512.86
Alameda Alcides de Araújo Romão,-16.7427851,-49.3175662,9658.86,-6660.6,-6988.61
Alameda Alfredo Alves Pinto,-16.745698,-49.3058324,9101.44,-5411.46,-7312.33
Alameda Aliança,-16.7433292,-49.2900026,7977.52,-3726.27,-7049.07
Alameda Ana Maria Moraes Verano,-16.7349426,-49.3192687,9182.02,-6841.84,-6117.05
Alameda Ana Maria Soares Verano,-16.7401454,-49.3226165,9835.27,-7198.24,-6695.25
Alameda Andrelino de Morais,-16.7418606,-49.3112332,9128.72,-5986.41,-6885.86
Alameda Angélico,-16.6475407,-49.2886699,5080.49,-3584.39,3596.18
Alameda Anicuns,-16.6529653,-49.2839479,4298.7,-3081.7,2993.33
Alameda Ary José Cascão,-16.5992362,-49.3817055,16207.22,-13488.67,8964.41
Alameda Balbino Carvalho,-16.7484488,-49.3216308,10414.04,-7093.3,-7618.03
Alameda Bernardo Guimarães,-16.7322841,-49.3174981,8844.95,-6653.35,-5821.6
Alameda Blake,-16.6444886,-49.2843418,5027.35,-3123.64,3935.37
Alameda Bolívia,-16.6885794,-49.3708719,12379.63,-12335.36,-964.57
Alameda Bonard,-16.6461435,-49.284305,4882.05,-3119.72,3751.46
Alameda Boulevard,-16.7404987,-49.3079909,8789.38,-5641.24,-6734.51
Alameda Boulevard Amendoeiras,-16.7404987,-49.3079909,8789.38,-5641.24,-6734.51
Alameda Cachoeira,-16.627295,-49.3598087,12604.79,-11157.6,5846.15
Alameda Carlos Di Tanno,-16.7357057,-49.3217245,9434.19,-7103.28,-6201.85
Alameda Cascavel,-16.6866781,-49.2914128,3951.04,-3876.39,-753.27
Alameda Castro Alves,-16.7344404,-49.315074,8815.51,-6395.29,-6061.24
Alameda Cezane,-16.6131694,-49.3500655,12555.07,-10120.37,7415.97
Alameda Contorno Sul,-16.7257437,-49.3005932,7040.21,-4853.71,-5094.75
Alameda Corcovado,-16.6574089,-49.3430331,9705.26,-9371.73,2499.5
